@relation 808100

@attribute follower numeric
@attribute followed numeric
@attribute favcount numeric
@attribute defaultimage {false,true}
@attribute lengthUserName numeric
@attribute lengthDescName numeric
@attribute ratioFollowerFollowed numeric
@attribute getReputation numeric
@attribute AgeOfAccount numeric
@attribute FollowingRate numeric
@attribute CountOfTweets numeric
@attribute NumberOfTPerDay numeric
@attribute AvgLinkCount numeric
@attribute AvgRTCount numeric
@attribute AvgHTCount numeric
@attribute AvgFavCount numeric
@attribute AvgDDifference numeric
@attribute AvgNOfChars numeric
@attribute AvgNOfWords numeric
@attribute AvgNOfCapitalization numeric
@attribute AvgNOfQuestionMark numeric
@attribute AvgNOfExclamationMark numeric
@attribute AvgNOfDotMark numeric
@attribute AvgMaxWordLength numeric
@attribute AvgNOfWhiteSpaces numeric
@attribute AvgMeanWordLength numeric
@attribute Type {Human,Bot}

@data
412880,1357,86,false,10,110,304,0.996724,77589,5.321373,51599,15.965,111.755,0.5732,1278.39,0.0626,1289.4,1488029950,103.055,18.0972,8.2858,0.2035,0.0901,1.7594,19.1301,6.65294,Human
19148,718,817,false,14,150,26,0.963858,37933,0.504785,3542,2.24177,15.6924,0.2706,74.8568,0.3933,17.7273,1436739970,91.483,15.5804,8.4453,0.1101,0.2659,1.6497,16.5414,6.41455,Human
84041321,244,2100,false,12,13,344431,0.999997,73635,1141.323026,4161,1.35626,9.49381,0.3967,9979.74,0.3917,14127.2,1397760000,102.258,17.6142,10.8946,0.0731,0.7347,1.9231,19.4001,7.11373,Human
51758350,95,0,false,17,102,544824,0.999998,60306,858.26203,2862,1.13933,7.97532,0.3944,3589.76,0.3119,7157.09,1376339970,96.3934,17.2407,8.2376,0.1727,0.479,1.8957,18.9838,6.63752,Human
12184043,279,24,false,15,135,43670,0.999977,53079,229.545451,2495,1.12845,7.89914,0.1644,1240.31,0.3299,2238.54,1353570050,101.674,16.5533,6.26,0.0793,0.5814,1.4105,16.7221,6.16578,Human
7783535,15278,147,false,7,3,509,0.998041,48174,161.571283,11753,5.856,40.992,0.1022,28119.4,0.0966,47932.3,1433720060,58.267,10.7367,6.2611,0.0917,0.1772,0.692,13.6685,6.21343,Human
4093,244,1868,false,19,65,16,0.94374,59048,0.069316,12081,4.91098,34.3768,0.3737,537.093,0.8136,1.4849,1475520000,102.446,16.4205,12.2868,0.1029,0.4606,1.3811,22.0022,8.33783,Human
772368,409,1261,false,13,13,1888,0.999471,42906,18.001398,12488,6.98825,48.9177,0.0698,1895.18,0.1873,344.089,1464979970,64.2986,9.9953,6.3051,0.0933,0.7172,0.8797,15.0344,7.15204,Human
2248017,637,41426,false,9,147,3529,0.999717,73460,30.601919,7915,2.5866,18.1062,0.5653,1908.23,0.2964,140.447,1469400060,106.231,18.6416,9.877,0.0895,0.5396,2.0257,20.9731,6.84099,Human
233,6,1,false,12,0,38,0.974895,30990,0.007519,338506,262.204,1835.43,1,0.0025,0.0003,0.0139,1456380030,113.754,19.4535,19.874,0,0.0046,3.1815,23.0012,7.02248,Bot
413,0,2,false,16,76,413,1,42793,0.009651,227274,127.467,892.27,0.0009,0.0142,1.0003,0.0096,1479990020,79.0582,10.005,9.5229,0.0046,0.0378,2.0811,11.1142,6.06532,Bot
553,1027,968,false,16,27,0,0.35,35758,0.015465,5975,4.01276,28.0893,0.3586,27674.4,0.5413,0.0176,1398269950,80.9106,13.2437,7.7318,0.0662,0.2405,1.1263,18.0192,7.18644,Bot
2231,259,287,false,13,100,8,0.895984,26589,0.083907,5645,5.09937,35.6956,0.1919,846.987,0.4741,6.3918,1418109950,93.2273,15.8904,10.4716,0.0932,0.5027,0.559,15.956,6.10044,Bot
